Number,Name,Description,Type,State,Priority,Owner,Created On,Modified On,Module,Parent Number,Traced To
TPS-001,Thermal Protection System Overview,"The thermal protection system shall provide comprehensive heat shielding for all external surfaces exposed to re-entry temperatures exceeding 1260°C.",Functional,Approved,Critical,Sarah Chen,2024-06-15,2025-01-20,TPS-CORE,,
TPS-002,Heat Shield Material Selection,"The TPS shall use reinforced carbon-carbon (RCC) composite tiles rated for sustained temperatures up to 1650°C on leading edges and nose cap.",Functional,Approved,Critical,Sarah Chen,2024-06-15,2025-01-18,TPS-CORE,TPS-001,TPS-003
TPS-003,Tile Bonding Interface Specification,"Each TPS tile shall bond to the primary structure via strain-isolation pad (SIP) with a minimum peel strength of 15 kPa at operating temperature.",Interface,Approved,High,James Rivera,2024-07-01,2025-02-05,TPS-CORE,TPS-001,TPS-002
TPS-004,Surface Temperature Monitoring,"The TPS shall include embedded thermocouple arrays at no fewer than 48 discrete locations to provide real-time surface temperature telemetry.",Functional,Approved,High,Mei Wong,2024-07-10,2025-01-25,TPS-SENSOR,TPS-001,TPS-005
TPS-005,Thermal Telemetry Data Interface,"Temperature sensor data shall be transmitted to the onboard data handling system via MIL-STD-1553B data bus at a minimum rate of 10 Hz per channel.",Interface,Approved,High,Mei Wong,2024-07-10,2025-02-10,TPS-SENSOR,TPS-004,TPS-004
TPS-006,Ablative Material Performance,"Ablative TPS materials shall demonstrate mass loss not exceeding 0.05 g/cm² per minute under peak heating conditions of 50 W/cm².",Non-Functional,Approved,Critical,Sarah Chen,2024-08-01,2025-01-30,TPS-CORE,TPS-001,TPS-002
TPS-007,Gap Filler Requirements,"All inter-tile gaps shall be filled with ceramic-fiber gap fillers rated to 1400°C with a maximum installed gap width of 2.5 mm.",Functional,Approved,High,James Rivera,2024-08-15,2025-02-01,TPS-CORE,TPS-001,TPS-003
TPS-008,Inspection Access Provisions,"The TPS design shall provide non-destructive inspection (NDI) access to a minimum of 90% of bonded tile interfaces without tile removal.",Non-Functional,Under Review,Medium,David Park,2024-09-01,2025-02-15,TPS-MAINT,,TPS-003
TPS-009,Thermal Cycling Endurance,"TPS tiles shall withstand a minimum of 100 thermal cycles from -150°C to +1260°C without degradation in structural integrity or thermal performance.",Non-Functional,Approved,Critical,Sarah Chen,2024-09-10,2025-01-28,TPS-CORE,TPS-001,TPS-002
TPS-010,Emergency Repair Kit,"An on-orbit TPS repair kit shall be provided capable of patching damaged tiles up to 150 cm² per repair with thermal performance equivalent to 80% of original specification.",Functional,Draft,Medium,David Park,2024-10-01,2025-02-20,TPS-MAINT,,
TPS-011,Aerodynamic Surface Tolerance,"Installed TPS tile surfaces shall maintain aerodynamic smoothness within ±0.5 mm of the outer mold line (OML) design contour.",Non-Functional,Approved,High,James Rivera,2024-10-15,2025-01-22,TPS-CORE,TPS-001,TPS-007
TPS-012,Lightning Strike Protection,"The TPS shall incorporate lightning strike protection capable of withstanding Zone 1A attachment (200 kA peak, 2×10⁶ A²s action integral) without breach of thermal barrier.",Functional,Under Review,High,Mei Wong,2024-11-01,2025-02-18,TPS-PROT,TPS-001,
TPS-013,Acoustic Load Resistance,"TPS tiles and attachment systems shall withstand acoustic loads of 165 dB OASPL during launch and ascent phases without debonding or fracture.",Non-Functional,Approved,High,Sarah Chen,2024-11-10,2025-01-25,TPS-CORE,TPS-001,TPS-003
TPS-014,Rain Erosion Resistance,"The TPS outer surface coating shall resist rain erosion at impact velocities up to 250 m/s with droplet sizes of 2 mm diameter.",Non-Functional,Under Review,Medium,James Rivera,2024-11-15,2025-02-12,TPS-PROT,TPS-001,
TPS-015,Thermal Protection System Weight Budget,"The complete TPS assembly (tiles, SIP, gap fillers, fasteners, and coatings) shall not exceed 8.5 kg/m² as an area-averaged mass.",Non-Functional,Approved,Critical,Sarah Chen,2024-12-01,2025-02-01,TPS-CORE,TPS-001,
TPS-016,Waterproofing System,"The TPS shall include a waterproofing system to prevent moisture absorption exceeding 1% by weight of the tile material after 72 hours of exposure to 95% relative humidity.",Functional,Approved,Medium,David Park,2024-12-10,2025-02-08,TPS-PROT,TPS-001,TPS-007
TPS-017,Structural Load Transfer,"TPS attachment points shall transfer aerodynamic pressure loads up to 14.4 kPa (300 psf) to the primary structure without permanent deformation of the attachment hardware.",Functional,Approved,High,James Rivera,2025-01-05,2025-02-15,TPS-CORE,TPS-001,"TPS-003,TPS-011"
TPS-018,Thermal Soak-Back Limit,"The TPS shall limit thermal soak-back to the primary aluminum structure to a maximum of 175°C at any point during and after re-entry.",Non-Functional,Approved,Critical,Sarah Chen,2025-01-10,2025-02-10,TPS-CORE,TPS-001,"TPS-002,TPS-006"
TPS-019,Configuration Management,"All TPS tile locations shall be uniquely identified using a coordinate-based numbering system traceable to the vehicle coordinate reference frame.",Non-Functional,Approved,Medium,David Park,2025-01-15,2025-02-20,TPS-MAINT,TPS-001,
